pollster,sample,sample_2,candidate,points,poll_start,poll_end
C+HarrisX,370,Registered Voters,klobuchar,2,2019-06-06,2019-06-10
C+HarrisX,448,Registered Voters,gillibrand,1,2019-06-06,2019-06-10
B-Morning Consult,11627,Likely Voters,harris,13,2019-06-06,2019-06-10
B-Morning Consult,699,Registered Voters,delaney,0,2019-06-06,2019-06-10
C+HarrisX,743,Registered Voters,williamson,1,2019-06-06,2019-06-10
A-Quinnipiac University,559,Registered Voters,gabbard,0,2019-06-06,2019-06-10
B-Morning Consult,14250,Likely Voters,gillibrand,2,2019-06-06,2019-06-10
A-Quinnipiac University,559,Registered Voters,gillibrand,0,2019-06-06,2019-06-10
B-Morning Consult,14250,Likely Voters,harris,6,2019-06-06,2019-06-10
A+Monmouth University,330,Registered Voters,warren,8,2019-06-06,2019-06-10
B-Morning Consult,694,Registered Voters,biden,26,2019-06-06,2019-06-10
BGBAO,800,Likely Voters,buttigieg,5,2019-06-06,2019-06-10
B-Morning Consult,685,Registered Voters,hickenlooper,1,2019-06-06,2019-06-10
C+Change Research,2968,Likely Voters,steyer,1,2019-06-06,2019-06-10
B-Morning Consult,15383,Likely Voters,buttigieg,0,2019-06-06,2019-06-10
C+Harris Interactive,459,Registered Voters,biden,25,2019-06-06,2019-06-10
B-Morning Consult,13551,Likely Voters,booker,4,2019-06-06,2019-06-10
B-Morning Consult,14250,Likely Voters,inslee,0,2019-06-06,2019-06-10
A+Monmouth University,310,Registered Voters,hickenlooper,1,2019-06-06,2019-06-10
C+Harris Interactive,488,Registered Voters,gillibrand,1,2019-06-06,2019-06-10
C+Harris Interactive,259,Registered Voters,sanders,14,2019-06-06,2019-06-10
C+HarrisX,440,Registered Voters,klobuchar,0,2019-06-06,2019-06-10
A+ABC News/Washington Post,427,Adults,harris,4,2019-06-06,2019-06-10
Echelon Insights,447,Registered Voters,buttigieg,5,2019-06-06,2019-06-10
B-Morning Consult,16368,Likely Voters,biden,38,2019-06-06,2019-06-10
B-Morning Consult,15342,Likely Voters,yang,1,2019-06-06,2019-06-10
BYouGov,550,Adults,gabbard,1,2019-06-06,2019-06-10
AFox News,469,Likely Voters,messam,0,2019-06-06,2019-06-10
B-Morning Consult,14250,Likely Voters,delaney,0,2019-06-06,2019-06-10
C+Change Research,2518,Likely Voters,abrams,4,2019-06-06,2019-06-10
C+Change Research,1919,Likely Voters,o_rourke,7,2019-06-06,2019-06-10
C+Harris Interactive,346,Registered Voters,harris,10,2019-06-06,2019-06-10
C+Harris Interactive,273,Registered Voters,sanders,18,2019-06-06,2019-06-10
B-Morning Consult,16587,Likely Voters,castro,1,2019-06-06,2019-06-10
B+Emerson College,355,Likely Voters,ojeda,7,2019-06-06,2019-06-10
B-Morning Consult,737,Registered Voters,bullock,0,2019-06-06,2019-06-10
A-CNN/SSRS,424,Registered Voters,harris,4,2019-06-06,2019-06-10
C+HarrisX,370,Registered Voters,harris,12,2019-06-06,2019-06-10
B-Morning Consult,16368,Likely Voters,williamson,1,2019-06-06,2019-06-10
CUSC Dornsife/LA Times,2196,Likely Voters,hickenlooper,2,2019-06-06,2019-06-10
C+HarrisX,431,Registered Voters,gravel,0,2019-06-06,2019-06-10
B-Morning Consult,13725,Likely Voters,buttigieg,2,2019-06-06,2019-06-10
C+HarrisX,370,Registered Voters,brown,1,2019-06-06,2019-06-10
C+Harris Interactive,459,Registered Voters,harris,2,2019-06-06,2019-06-10
C+HarrisX,881,Registered Voters,biden,41,2019-06-06,2019-06-10
B+Ipsos,2525,Adults,gabbard,1,2019-06-06,2019-06-10
B+Ipsos,2237,Adults,o_rourke,6,2019-06-06,2019-06-10
A+ABC News/Washington Post,447,Adults,johnson,0,2019-06-06,2019-06-10
AFox News,469,Likely Voters,williamson,1,2019-06-06,2019-06-10
A+ABC News/Washington Post,447,Adults,m_obama,2,2019-06-06,2019-06-10
BYouGov,500,Registered Voters,ryan,0,2019-06-06,2019-06-10
A+Monmouth University,310,Registered Voters,harris,15,2019-06-06,2019-06-10
B-Morning Consult,706,Registered Voters,kerry,2,2019-06-06,2019-06-10
C+Harris Interactive,479,Registered Voters,gillibrand,2,2019-06-06,2019-06-10
A-CNN/SSRS,456,Adults,buttigieg,1,2019-06-06,2019-06-10
B-Morning Consult,706,Registered Voters,klobuchar,1,2019-06-06,2019-06-10
Echelon Insights,447,Registered Voters,biden,63,2019-06-06,2019-06-10
CZogby Interactive/JZ Analytics,410,Likely Voters,harris,5,2019-06-06,2019-06-10
B-Morning Consult,15642,Likely Voters,sanders,27,2019-06-06,2019-06-10
B+Ipsos,2237,Adults,gabbard,0,2019-06-06,2019-06-10
B-Morning Consult,15342,Likely Voters,gillibrand,1,2019-06-06,2019-06-10
C+Harris Interactive,346,Registered Voters,bloomberg,2,2019-06-06,2019-06-10
C+HarrisX,740,Registered Voters,warren,4,2019-06-06,2019-06-10
C-McLaughlin & Associates,468,Likely Voters,booker,2,2019-06-06,2019-06-10
B-Morning Consult,14381,Likely Voters,hickenlooper,1,2019-06-06,2019-06-10
C+HarrisX,740,Registered Voters,biden,27,2019-06-06,2019-06-10
C+HarrisX,2207,Registered Voters,sanders,20,2019-06-06,2019-06-10
C+HarrisX,440,Registered Voters,swalwell,1,2019-06-06,2019-06-10
B-Morning Consult,674,Registered Voters,booker,2,2019-06-06,2019-06-10
C+Harris Interactive,449,Registered Voters,bloomberg,4,2019-06-06,2019-06-10
Echelon Insights,499,Registered Voters,gillibrand,0,2019-06-06,2019-06-10
A-CNN/SSRS,456,Adults,bullock,0,2019-06-06,2019-06-10
B-Morning Consult,15642,Likely Voters,klobuchar,3,2019-06-06,2019-06-10
C-McLaughlin & Associates,450,Likely Voters,sanders,16,2019-06-06,2019-06-10
C+HarrisX,2207,Registered Voters,gravel,1,2019-06-06,2019-06-10
A-CNN/SSRS,412,Registered Voters,biden,32,2019-06-06,2019-06-10
C+HarrisX,740,Registered Voters,booker,4,2019-06-06,2019-06-10
C+Harris Interactive,471,Registered Voters,hickenlooper,1,2019-06-06,2019-06-10
A-CNN/SSRS,463,Adults,warren,3,2019-06-06,2019-06-10
A+Monmouth University,334,Registered Voters,buttigieg,6,2019-06-06,2019-06-10
C+HarrisX,2207,Registered Voters,yang,1,2019-06-06,2019-06-10
C+HarrisX,370,Registered Voters,biden,30,2019-06-06,2019-06-10
B-Morning Consult,694,Registered Voters,delaney,0,2019-06-06,2019-06-10
B+Emerson College,356,Likely Voters,hickenlooper,0,2019-06-06,2019-06-10
C+Change Research,1919,Likely Voters,williamson,0,2019-06-06,2019-06-10
B-Morning Consult,16368,Likely Voters,booker,3,2019-06-06,2019-06-10
A-CNN/SSRS,424,Registered Voters,inslee,1,2019-06-06,2019-06-10
A+Monmouth University,330,Registered Voters,biden,27,2019-06-06,2019-06-10
C+Harris Interactive,259,Registered Voters,biden,44,2019-06-06,2019-06-10
C+Harris Interactive,471,Registered Voters,warren,5,2019-06-06,2019-06-10
C+HarrisX,370,Registered Voters,bloomberg,5,2019-06-06,2019-06-10
A+ABC News/Washington Post,447,Adults,bullock,1,2019-06-06,2019-06-10
B-Morning Consult,16587,Likely Voters,gabbard,1,2019-06-06,2019-06-10
A-Quinnipiac University,419,Registered Voters,sanders,11,2019-06-06,2019-06-10
C+Harris Interactive,263,Registered Voters,buttigieg,2,2019-06-06,2019-06-10
C+Change Research,1420,Likely Voters,castro,0,2019-06-06,2019-06-10
B-Morning Consult,12940,Likely Voters,gillibrand,1,2019-06-06,2019-06-10
B-Morning Consult,14830,Likely Voters,yang,1,2019-06-06,2019-06-10
B+Ipsos,2271,Registered Voters,buttigieg,5,2019-06-06,2019-06-10
C+HarrisX,881,Registered Voters,ryan,1,2019-06-06,2019-06-10
B-Morning Consult,737,Registered Voters,buttigieg,0,2019-06-06,2019-06-10
C+Harris Interactive,479,Registered Voters,castro,1,2019-06-06,2019-06-10
C+HarrisX,881,Registered Voters,sanders,42,2019-06-06,2019-06-10
C-McLaughlin & Associates,447,Likely Voters,harris,8,2019-06-06,2019-06-10
B-Morning Consult,14335,Likely Voters,klobuchar,2,2019-06-06,2019-06-10
B+Emerson College,355,Likely Voters,gillibrand,9,2019-06-06,2019-06-10
D-CYFOR,453,Registered Voters,booker,4,2019-06-06,2019-06-10
A-Quinnipiac University,503,Registered Voters,moulton,0,2019-06-06,2019-06-10
B-Morning Consult,737,Registered Voters,newsom,0,2019-06-06,2019-06-10
CZogby Interactive/JZ Analytics,410,Likely Voters,gillibrand,2,2019-06-06,2019-06-10
B+Emerson College,487,Likely Voters,yang,1,2019-06-06,2019-06-10
C+HarrisX,370,Registered Voters,m_obama,25,2019-06-06,2019-06-10
A-CNN/SSRS,424,Registered Voters,klobuchar,3,2019-06-06,2019-06-10
C+Change Research,2518,Likely Voters,delaney,0,2019-06-06,2019-06-10
A-CNN/SSRS,456,Adults,klobuchar,3,2019-06-06,2019-06-10
B-Morning Consult,674,Registered Voters,schultz,0,2019-06-06,2019-06-10
B-Morning Consult,14335,Likely Voters,buttigieg,9,2019-06-06,2019-06-10
A+Monmouth University,334,Registered Voters,gabbard,1,2019-06-06,2019-06-10
C-McLaughlin & Associates,360,Likely Voters,biden,30,2019-06-06,2019-06-10
C+Harris Interactive,471,Registered Voters,gillibrand,0,2019-06-06,2019-06-10
B-Morning Consult,13725,Likely Voters,inslee,1,2019-06-06,2019-06-10
A-Quinnipiac University,503,Registered Voters,yang,1,2019-06-06,2019-06-10
C+Change Research,1919,Likely Voters,warren,13,2019-06-06,2019-06-10
B+Emerson College,355,Likely Voters,sanders,5,2019-06-06,2019-06-10
C+Change Research,1919,Likely Voters,yang,1,2019-06-06,2019-06-10
A+Monmouth University,330,Registered Voters,de_blasio,1,2019-06-06,2019-06-10
BYouGov,500,Registered Voters,klobuchar,1,2019-06-06,2019-06-10
D-CYFOR,453,Registered Voters,delaney,1,2019-06-06,2019-06-10
A-CNN/SSRS,463,Adults,delaney,0,2019-06-06,2019-06-10
B-Morning Consult,13551,Likely Voters,buttigieg,1,2019-06-06,2019-06-10
Echelon Insights,447,Registered Voters,sanders,16,2019-06-06,2019-06-10
A-CNN/SSRS,424,Registered Voters,castro,0,2019-06-06,2019-06-10
B+Emerson College,356,Likely Voters,inslee,0,2019-06-06,2019-06-10
B-Morning Consult,14381,Likely Voters,castro,2,2019-06-06,2019-06-10
A-CNN/SSRS,463,Adults,castro,0,2019-06-06,2019-06-10
A+ABC News/Washington Post,447,Adults,trump,4,2019-06-06,2019-06-10
B-Morning Consult,15770,Likely Voters,yang,1,2019-06-06,2019-06-10
C+Change Research,1420,Likely Voters,de_blasio,1,2019-06-06,2019-06-10
B+Ipsos,2271,Registered Voters,o_rourke,3,2019-06-06,2019-06-10
C+Change Research,2518,Likely Voters,klobuchar,3,2019-06-06,2019-06-10
Echelon Insights,447,Registered Voters,williamson,0,2019-06-06,2019-06-10
AFox News,469,Likely Voters,sanders,17,2019-06-06,2019-06-10
B-Morning Consult,14494,Likely Voters,holder,1,2019-06-06,2019-06-10
B-Morning Consult,16587,Likely Voters,swalwell,0,2019-06-06,2019-06-10
B+Emerson College,431,Likely Voters,gabbard,2,2019-06-06,2019-06-10
CZogby Interactive/JZ Analytics,410,Likely Voters,gillibrand,1,2019-06-06,2019-06-10
B-Morning Consult,694,Registered Voters,holder,0,2019-06-06,2019-06-10
B-Morning Consult,699,Registered Voters,sanders,16,2019-06-06,2019-06-10
BYouGov,500,Registered Voters,williamson,0,2019-06-06,2019-06-10
B-Morning Consult,13551,Likely Voters,bullock,0,2019-06-06,2019-06-10
C+Change Research,1919,Likely Voters,bennet,1,2019-06-06,2019-06-10
B+Emerson College,355,Likely Voters,castro,12,2019-06-06,2019-06-10
B-Morning Consult,12550,Likely Voters,klobuchar,3,2019-06-06,2019-06-10
C+Change Research,1420,Likely Voters,warren,15,2019-06-06,2019-06-10
B-Morning Consult,737,Registered Voters,holder,0,2019-06-06,2019-06-10
A+ABC News/Washington Post,447,Adults,harris,8,2019-06-06,2019-06-10
BYouGov,550,Adults,bullock,1,2019-06-06,2019-06-10
CZogby Interactive/JZ Analytics,463,Likely Voters,inslee,1,2019-06-06,2019-06-10
B-Morning Consult,16368,Likely Voters,gabbard,1,2019-06-06,2019-06-10
B+Ipsos,1132,Adults,ryan,1,2019-06-06,2019-06-10
A+ABC News/Washington Post,427,Adults,booker,1,2019-06-06,2019-06-10
C+HarrisX,431,Registered Voters,sanders,16,2019-06-06,2019-06-10
B-Morning Consult,4749,Likely Voters,sanders,23,2019-06-06,2019-06-10
B+Ipsos,2271,Registered Voters,gillibrand,0,2019-06-06,2019-06-10
Bold Blue Campaigns,500,Likely Voters,klobuchar,1,2019-06-06,2019-06-10
A-Quinnipiac University,503,Registered Voters,bennet,0,2019-06-06,2019-06-10
B-Morning Consult,699,Registered Voters,brown,1,2019-06-06,2019-06-10
CUSC Dornsife/LA Times,1131,Likely Voters,gabbard,0,2019-06-06,2019-06-10
B-Morning Consult,737,Registered Voters,hickenlooper,1,2019-06-06,2019-06-10
C+HarrisX,2207,Registered Voters,warren,8,2019-06-06,2019-06-10
CZogby Interactive/JZ Analytics,410,Likely Voters,booker,1,2019-06-06,2019-06-10
C+HarrisX,741,Registered Voters,moulton,1,2019-06-06,2019-06-10
B+Ipsos,1132,Adults,gabbard,0,2019-06-06,2019-06-10
CUSC Dornsife/LA Times,1131,Likely Voters,castro,1,2019-06-06,2019-06-10
A-Quinnipiac University,454,Registered Voters,booker,3,2019-06-06,2019-06-10
C+Change Research,2518,Likely Voters,hickenlooper,1,2019-06-06,2019-06-10
A-CNN/SSRS,411,Registered Voters,gabbard,2,2019-06-06,2019-06-10
B-Morning Consult,685,Registered Voters,buttigieg,0,2019-06-06,2019-06-10
B-Morning Consult,15475,Likely Voters,klobuchar,2,2019-06-06,2019-06-10
B-Morning Consult,14494,Likely Voters,mc_auliffe,1,2019-06-06,2019-06-10
D-CYFOR,453,Registered Voters,o_rourke,3,2019-06-06,2019-06-10
C+HarrisX,741,Registered Voters,gillibrand,1,2019-06-06,2019-06-10
A-Quinnipiac University,454,Registered Voters,williamson,0,2019-06-06,2019-06-10
A+Monmouth University,330,Registered Voters,moulton,0,2019-06-06,2019-06-10
B+Ipsos,2237,Adults,messam,0,2019-06-06,2019-06-10
A-CNN/SSRS,411,Registered Voters,williamson,1,2019-06-06,2019-06-10
B-Morning Consult,4749,Likely Voters,inslee,0,2019-06-06,2019-06-10
B-Morning Consult,12940,Likely Voters,klobuchar,2,2019-06-06,2019-06-10
A+Monmouth University,310,Registered Voters,de_blasio,1,2019-06-06,2019-06-10
Echelon Insights,447,Registered Voters,inslee,0,2019-06-06,2019-06-10
A+Monmouth University,330,Registered Voters,delaney,0,2019-06-06,2019-06-10
A+Monmouth University,330,Registered Voters,inslee,0,2019-06-06,2019-06-10
B-Morning Consult,12550,Likely Voters,warren,10,2019-06-06,2019-06-10
B-Morning Consult,17012,Likely Voters,moulton,0,2019-06-06,2019-06-10
B-Morning Consult,15770,Likely Voters,moulton,0,2019-06-06,2019-06-10
B-Morning Consult,14381,Likely Voters,sanders,21,2019-06-06,2019-06-10
C+Harris Interactive,471,Registered Voters,bloomberg,1,2019-06-06,2019-06-10
A+Monmouth University,334,Registered Voters,williamson,1,2019-06-06,2019-06-10
B+Ipsos,1132,Adults,biden,29,2019-06-06,2019-06-10
C+HarrisX,740,Registered Voters,yang,1,2019-06-06,2019-06-10
C+Change Research,1919,Likely Voters,harris,9,2019-06-06,2019-06-10
B-Morning Consult,14335,Likely Voters,biden,30,2019-06-06,2019-06-10
B+Ipsos,2237,Adults,hickenlooper,1,2019-06-06,2019-06-10
C+Change Research,1420,Likely Voters,gillibrand,1,2019-06-06,2019-06-10
B-Morning Consult,15770,Likely Voters,gabbard,1,2019-06-06,2019-06-10
C+Harris Interactive,259,Registered Voters,buttigieg,2,2019-06-06,2019-06-10
A-CNN/SSRS,463,Adults,biden,30,2019-06-06,2019-06-10
A+ABC News/Washington Post,427,Adults,yang,0,2019-06-06,2019-06-10
B+Emerson College,320,Likely Voters,harris,9,2019-06-06,2019-06-10
B-Morning Consult,12550,Likely Voters,harris,9,2019-06-06,2019-06-10
A+ABC News/Washington Post,447,Adults,lee,0,2019-06-06,2019-06-10
A+ABC News/Washington Post,427,Adults,h_clinton,2,2019-06-06,2019-06-10
Echelon Insights,447,Registered Voters,harris,5,2019-06-06,2019-06-10
B-Morning Consult,13644,Likely Voters,hickenlooper,1,2019-06-06,2019-06-10
B-Morning Consult,14494,Likely Voters,warren,9,2019-06-06,2019-06-10
C+Harris Interactive,254,Registered Voters,sanders,17,2019-06-06,2019-06-10
CUSC Dornsife/LA Times,1131,Likely Voters,buttigieg,3,2019-06-06,2019-06-10
B+Ipsos,2525,Adults,swalwell,0,2019-06-06,2019-06-10
B-Morning Consult,13644,Likely Voters,buttigieg,5,2019-06-06,2019-06-10
B-Morning Consult,12550,Likely Voters,biden,31,2019-06-06,2019-06-10
B-Morning Consult,14381,Likely Voters,warren,9,2019-06-06,2019-06-10
A+Monmouth University,313,Registered Voters,mc_auliffe,0,2019-06-06,2019-06-10
A-Quinnipiac University,503,Registered Voters,williamson,0,2019-06-06,2019-06-10
B-Morning Consult,11627,Likely Voters,bullock,1,2019-06-06,2019-06-10
B+Ipsos,964,Registered Voters,inslee,1,2019-06-06,2019-06-10
B+Ipsos,964,Registered Voters,williamson,0,2019-06-06,2019-06-10
A-CNN/SSRS,463,Adults,holder,1,2019-06-06,2019-06-10
A+Monmouth University,334,Registered Voters,booker,1,2019-06-06,2019-06-10
B-Morning Consult,12550,Likely Voters,klobuchar,2,2019-06-06,2019-06-10
